feature,fisher_ratio
cross_coherence_sigma,0.6664885260056748
EEG_Pz_Oz_sef95,0.3349031555638552
cross_cross_correlation,0.2715930533554631
EEG_Pz_Oz_delta_rel,0.25163726323773816
cross_coherence_alpha,0.2105538043325339
EEG_Pz_Oz_zero_crossing_rate,0.2022602319979804
cross_coherence_theta,0.18372098945230775
EEG_Pz_Oz_sample_entropy,0.15023039365495824
EEG_Pz_Oz_beta_rel,0.12522394765619602
EEG_Pz_Oz_sigma_rel,0.10938499606827058
EEG_Fpz_Cz_zero_crossing_rate,0.09250952590700381
EEG_Fpz_Cz_sef95,0.08046408109013536
EEG_Fpz_Cz_delta_rel,0.06533015391933847
cross_coherence_beta,0.06494347617882805
EEG_Fpz_Cz_spectral_entropy,0.058788113502647614
EEG_Pz_Oz_spindle_ratio,0.052059323939821565
EEG_Fpz_Cz_hjorth_mobility,0.05108066839859635
EEG_Pz_Oz_line_length_norm,0.03943617380661572
EEG_Pz_Oz_line_length,0.03943617380661567
EEG_Fpz_Cz_beta_rel,0.03766325107980072
EEG_Fpz_Cz_hjorth_complexity,0.03710594661214646
EEG_Pz_Oz_iqr,0.03598649795644168
cross_coherence_delta,0.03410152606098107
EEG_Pz_Oz_sef50,0.03334661606760807
EEG_Fpz_Cz_line_length_norm,0.029976701619276805
EEG_Fpz_Cz_line_length,0.029976701619276788
EEG_Pz_Oz_mean_abs_value,0.029297575125035228
EEG_Pz_Oz_alpha_rel,0.02848645816097249
EEG_Pz_Oz_rms,0.02413328341193973
cross_envelope_correlation,0.02210425396492592
EEG_Fpz_Cz_theta_rel,0.01915436399551717
EEG_Pz_Oz_delta_theta_ratio,0.018912158812018222
EEG_Fpz_Cz_sigma_rel,0.018612342669071216
EEG_Fpz_Cz_spindle_ratio,0.014351289239840206
EEG_Pz_Oz_hjorth_complexity,0.013515414291147155
EEG_Fpz_Cz_delta_theta_ratio,0.013228963344351299
EEG_Pz_Oz_spectral_entropy,0.012823728853639608
EEG_Fpz_Cz_iqr,0.010952373428138264
EEG_Pz_Oz_delta_beta_ratio,0.010834360829453386
EEG_Pz_Oz_slowing_ratio,0.010396841262184767
EEG_Fpz_Cz_kurtosis,0.009644636019941944
EEG_Pz_Oz_slow_fast_ratio,0.009581088146766255
EEG_Fpz_Cz_alpha_rel,0.009248607567072213
EEG_Fpz_Cz_sample_entropy,0.008893324336270967
EEG_Fpz_Cz_delta_beta_ratio,0.0074784857344955755
EEG_Fpz_Cz_skewness,0.007084136946550313
EEG_Fpz_Cz_slowing_ratio,0.006550828080416403
EEG_Fpz_Cz_sef50,0.0062709904114505435
EEG_Fpz_Cz_slow_fast_ratio,0.005972643156123202
EEG_Pz_Oz_hjorth_mobility,0.005808471724930363
EEG_Pz_Oz_theta_rel,0.005325303084602879
EEG_Fpz_Cz_mean_abs_value,0.004175476258197884
EEG_Pz_Oz_kurtosis,0.003906784062466225
EEG_Fpz_Cz_alpha_theta_ratio,0.00231214661027188
EEG_Pz_Oz_skewness,0.0013902045781942834
EEG_Fpz_Cz_theta_alpha_ratio,0.0013272859729945106
EEG_Fpz_Cz_rms,0.0012488383592242297
EEG_Pz_Oz_peak_freq,0.0007111286459806447
EEG_Pz_Oz_theta_alpha_ratio,0.0001367497841949846
EEG_Pz_Oz_alpha_theta_ratio,0.00010354001253058656
EEG_Fpz_Cz_peak_freq,1.1758410439851499e-05
EEG_Fpz_Cz_delta_abs,0.0
EEG_Fpz_Cz_theta_abs,0.0
EEG_Fpz_Cz_alpha_abs,0.0
EEG_Fpz_Cz_sigma_abs,0.0
EEG_Fpz_Cz_beta_abs,0.0
EEG_Fpz_Cz_total_power,0.0
EEG_Fpz_Cz_hjorth_activity,0.0
EEG_Fpz_Cz_variance,0.0
EEG_Pz_Oz_delta_abs,0.0
EEG_Pz_Oz_theta_abs,0.0
EEG_Pz_Oz_alpha_abs,0.0
EEG_Pz_Oz_sigma_abs,0.0
EEG_Pz_Oz_beta_abs,0.0
EEG_Pz_Oz_total_power,0.0
EEG_Pz_Oz_hjorth_activity,0.0
EEG_Pz_Oz_variance,0.0
